date,USD,EUR,RUB
2015-02-02,16.1517982483,18.3108107229,0.2359394063
2015-02-03,16.2893531124,18.6610444610,0.2457974000
2015-02-04,16.7783517652,19.1591624469,0.2488669776
2015-02-05,24.9457647727,28.5143985226,0.3745572623
2015-02-06,25.2475279414,28.6231651315,0.3762127919
2015-02-07,25.2474682797,28.5674324408,0.3780268505
2015-02-08,25.2474682797,28.5674324408,0.3772501625
2015-02-09,24.9839853411,28.2709465605,0.3806395396
2015-02-10,25.6195329553,29.0018134149,0.3861338310
2015-02-11,25.9151984071,29.2912469073,0.3920966618
2015-02-12,26.6915568453,30.4621207186,0.4074483033
2015-02-13,26.0984648645,29.7691156946,0.4124220685
2015-02-14,26.1000003815,29.7070276827,0.4110750060
2015-02-15,26.1000003815,29.7049632542,0.4110750060
2015-02-16,26.4149685936,30.0345000086,0.4181686157
2015-02-17,26.3984678484,30.0804322424,0.4197715838
2015-02-18,27.0985228221,30.7324672275,0.4411824079
2015-02-19,27.1848242326,30.9685796660,0.4387956309
2015-02-20,27.9977668015,31.8342771678,0.4516187307
2015-02-21,27.9899997711,31.8533310244,0.4531580963
2015-02-22,27.9899997711,31.8554556745,0.4531580963
2015-02-23,27.9888519043,31.7536256672,0.4420691213
2015-02-24,32.4923228439,36.7526200175,0.5166621419
2015-02-25,28.0068591285,31.8284111978,0.4516203082
2015-02-26,33.7325001809,37.8112811937,0.5523667499
2015-02-27,27.2478901880,30.5042467117,0.4398195636
2015-02-28,27.2293558596,30.4858548777,0.4423765564
2015-03-01,27.2293558596,30.4852224151,0.4423765564
2015-03-02,26.4633677401,29.6120199535,0.4255344575
2015-03-03,23.9420761833,26.8385458783,0.3871604501
2015-03-04,24.4112002280,27.0178331498,0.3930605852
2015-03-05,23.4893582636,25.8613532398,0.3862660563
2015-03-06,23.4397839331,25.4496967573,0.3873186593
2015-03-07,23.4893582637,25.4690689968,0.3889353848
2015-03-08,23.4893582637,25.4690689968,0.3889353848
2015-03-09,22.2500000000,24.1307747748,0.3685427601
2015-03-10,22.9891293603,24.6134760096,0.3691682619
2015-03-11,21.9690891340,23.2383386519,0.3532367885
2015-03-12,21.5921305096,22.9211042363,0.3534286330
2015-03-13,21.3699996948,22.4845047839,0.3466560161
2015-03-14,21.6457337990,22.7216288588,0.3477341679
2015-03-15,21.6457337990,22.7216016365,0.3477341679
2015-03-16,21.8950106447,23.1624802137,0.3509058757
2015-03-17,22.3749984000,23.7290886962,0.3626842136
2015-03-18,23.6250254083,25.1375750032,0.3873430688
2015-03-19,22.7999992372,24.2329670117,0.3821609313
2015-03-20,23.2460817397,25.0780356007,0.3910992020
2015-03-21,23.2473097632,25.1512601571,0.3920365875
2015-03-22,23.2473097632,25.1512601571,0.3920365875
2015-03-23,21.5454998016,23.5317039862,0.3667259698
2015-03-24,23.2229757888,25.3215331151,0.4018116971
2015-03-25,23.3999996185,25.7146793079,0.4061219172
2015-03-26,23.3939828214,25.5450774647,0.4077818699
2015-03-27,23.4330008846,25.5089741507,0.4054708181
2015-03-28,23.4495728660,25.5341836165,0.4050013249
2015-03-29,23.4495728660,25.5365471847,0.4050013249
2015-03-30,23.5796619785,25.5000498912,0.4078369020
2015-03-31,23.4394290387,25.1806837060,0.4029081075
2015-04-01,23.4343386150,25.2310239572,0.4075538410
2015-04-02,23.2478633901,25.2692842175,0.4107041979
2015-04-03,23.2473053253,25.5477599930,0.4083399614
2015-04-04,23.2473097632,25.5139709416,0.4091649729
2015-04-05,23.2473097632,25.4999818573,0.4091649729
2015-04-06,23.4478961149,25.8068813303,0.4244152021
2015-04-07,23.5008765082,25.4986781262,0.4273836833
2015-04-08,23.5141716417,25.4408651798,0.4380809973
2015-04-09,23.2898563285,24.8573801008,0.4448577301
2015-04-10,23.1996594506,24.5851445667,0.4434116559
2015-04-11,23.3995744085,24.8091036314,0.4367352727
2015-04-12,23.3995744085,24.8105650784,0.4367352727
2015-04-13,23.1996597705,24.5454209787,0.4408095047
2015-04-14,23.3237596378,24.8915841624,0.4562712811
2015-04-15,21.8185547171,23.1256658091,0.4347347280
2015-04-16,20.9431690418,22.4936602864,0.4181516971
2015-04-17,20.9495202455,22.5777090951,0.3998680314
2015-04-18,20.8500003815,22.5371299279,0.4003648482
2015-04-19,20.8500003815,22.5318340042,0.4003648482
2015-04-20,22.8490164412,24.5909765336,0.4288907923
2015-04-21,22.7250003175,24.4464087907,0.4249842082
2015-04-22,22.5995595346,24.2443665084,0.4297561933
2015-04-23,22.5000000128,24.3010884610,0.4421647040
2015-04-24,22.9522940156,24.9626748245,0.4489565351
2015-04-25,22.9500007629,24.9547397834,0.4514486340
2015-04-26,22.9500007629,24.9566223849,0.4514486340
2015-04-27,22.9554703695,25.0086316657,0.4439278258
2015-04-28,22.7468090758,24.9739767889,0.4433354246
2015-04-29,20.6250000000,23.0325528729,0.4047163101
2015-04-30,21.2470578116,23.7355359316,0.4114999929
2015-05-01,21.0000000000,23.5178928980,0.4052753962
2015-05-02,21.0000000000,23.5199247362,0.4047026447
2015-05-03,21.0000000000,23.5199247362,0.4047026447
2015-05-04,21.0000000000,23.4043906428,0.4035724871
2015-05-05,20.8966468010,23.3526350280,0.4132955441
2015-05-06,20.9995226809,23.8375664244,0.4148935426
2015-05-07,20.6297991633,23.2785898480,0.4116092842
2015-05-08,20.4699993134,23.0076456012,0.4022544659
2015-05-09,20.4699993134,22.9360874343,0.4023618329
2015-05-10,20.4699993134,22.9335532927,0.4027703710
2015-05-11,20.5009600000,22.8427657734,0.3976895429
2015-05-12,20.8995194992,23.4919427291,0.4166940185
